  ;US_ID;Description;Acceptance Criterias;Priority;Point;Assign;Test Type;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Course;US_001;Bir yönetici olarak API baðlantýsý üzerinden courses'e eriþebilmek istiyorum.;"/api/courses endpoint'ine gecerli authorization bilgileri ile bir GET request gönderildiginde dönen status code'in 200 ve response body'deki remark bilgisinin ""success"" oldugu dogrulanmali.";Medium;;;Backend (API);;;;;;;;;;;;;;;;;;
;;;id(x) olaninin response body'de donen bilgileri (teacher_id, creator_id, category_id, type, private, slug, start_date, duration, timezone) doðrulanmalý.;;;;;;;;;;;;;;;;;;;;;;
;;;"/api/courses endpoint'ine gecersiz (invalid token) authorization bilgileri ile bir GET request gönderildiginde dönen status code'in 401 ve response body'deki message bilgisinin ""Unauthenticated."" oldugu dogrulanmali.";;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;US_002;Bir yönetici olarak API baglantisi üzerinden belirtilen id numarasýna sahip course'in detaylý bilgilerine erisebilmeliyim.;"/api/course/{id} endpoint'ine gecerli authorization bilgileri ve dogru data (id) iceren bir GET request gönderildiginde dönen status code'in 200 ve response body'deki remark bilgisinin ""success"" oldugu dogrulanmali.";Low;;;Backend (API);;;;;;;;;;;;;;;;;;
;;;Response body icindeki list datalarýnýn (id, teacher_id, creator_id, category_id, type, private, slug, start_date, duration, timezone) içerikleri doðrulanmali.;;;;;;;;;;;;;;;;;;;;;;
;;;"/api/course/{id} endpoint'ine gecerli authorization bilgileri ve kaydý olmayan bir (id) iceren bir GET request gönderildiginde dönen status code'in 203, response body'deki remark bilgisinin ""failed"" ve message bilgisinin de ""There is not course for this id."" oldugu, (id) icermeyen bir GET request gönderildiginde de dönen status code'un 203, response body'deki remark bilgisinin ""failed"" ve message bilgisinin de ""No id"" oldugu dogrulanmali.";;;;;;;;;;;;;;;;;;;;;;
;;;"/api/course/{id} endpoint'ine gecersiz (invalid token) authorization bilgileri ve dogru data (id) iceren bir GET request gönderildiginde dönen status code'in 401 ve response body'deki message bilgisinin ""Unauthenticated."" oldugu dogrulanmali.";;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;US_003;Bir yönetici olarak API baðlantýsý üzerinden yeni bir course kaydý olusturabilmek istiyorum.;"/api/addCourse endpoint'ine gecerli authorization bilgileri ve dogru datalar (title, type, slug, start_date, duration, capacity, price, description, teacher_id) iceren bir POST body gönderildiginde dönen status code'in 200, response body'deki remark bilgisinin ""success"" ve Message bilgisinin de ""Successfully Added."" oldugu dogrulanmali.";High;;;Backend (API);;;;;;;;;;;;;;;;;;
